 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | Muon isolation eff. (syst) | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon TTVA (stat) | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon TTVA (syst) | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon trigger eff. (stat) | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon trigger eff. (syst) | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | SF(photon ID) | -nan / -nan | 0.00651897 / -0.00651924 | 0.00563556 / -0.00563576 | 0.00550296 / -0.00550314 | 0.00585762 / -0.00585785 | 0.00666844 / -0.00666871 | 0.00582929 / -0.00582951 | 0.00491779 / -0.00491793 | 0.00742302 / -0.00742341 | 0.0060832 / -0.00608344 |
 | SF(photon iso.) | -nan / -nan | -0.000953494 / -0.000953494 | 0.000140248 / 0.000140248 | -0.00182234 / -0.00182234 | -7.25195e-05 / -7.25195e-05 | -0.000956537 / -0.000956537 | -0.000595877 / -0.000595877 | 0.000418715 / 0.000418715 | -0.000774453 / -0.000774453 | 0.000850562 / 0.000850562 |
 | Pile-up | -nan / -nan | -8.83206e-05 / -0.0172129 | -0.00999766 / 0.00939238 | 0.0941838 / -0.046747 | -0.0270933 / 0.0329813 | -0.0242392 / 0.0149015 | -0.0159364 / 0.0320509 | -0.0984924 / 0.0945915 | 0.00482819 / 0.0133618 | -0.000778215 / 0.00258214 |
 | JVT | -nan / -nan | 0.0054874 / -0.0057905 | 0.0043161 / -0.00544312 | 0.00786266 / -0.00784898 | 0.00505011 / -0.00521738 | 0.00859225 / -0.00900845 | 0.00761686 / -0.00768602 | 0.00711807 / -0.00709616 | 0.00527063 / -0.00541799 | -0.028996 / 0.0146612 |
 | EGamFake | -nan / -nan | 0.0554185 / -0.0556023 | 0.000618992 / -0.000619015 | 0.0122356 / -0.0122445 | 0.0626998 / -0.0629352 | 0.0478301 / -0.0479668 | 0 / 0 | 0 / 0 | 0.0816603 / -0.0820607 | 0 / 0 |
 | JGamFake | -nan / -nan | 0.0489476 / -0.0506855 | 0 / 0 | 0.118376 / -0.129087 | 0.0040084 / -0.00401969 | 0.0229007 / -0.0232741 | 0 / 0 | 0.131481 / -0.144833 | 0.0182464 / -0.0184827 | 0.016121 / -0.0163052 |
 | Scale #mu_{R},#mu_{F} | -nan / -nan | 0 / 0 | 0.00115501 / -0.00807929 | 0 / 0 | 0 / 0 | 0 / 0 | 0.038955 / -0.0347804 | 0.955593 / -0.371113 | 0.0460004 / -0.0387319 | 0.0396356 / -0.0343828 |
 | PDF no. 1 | -nan / -nan | 0.00239152 / -0.00239148 | 0.00239152 / -0.00239148 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 2 | -nan / -nan | -0.00999727 / 0.00999792 | -0.00999727 / 0.00999792 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 3 | -nan / -nan | -0.00117919 / 0.0011792 | -0.00117919 / 0.0011792 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 4 | -nan / -nan | -0.0117637 / 0.0117644 | -0.0117637 / 0.0117644 | 0 / 0 | -0.0296549 / 0.0296598 | 0 / 0 | 0 / 0 | 0.417119 / -0.416157 | -0.00131965 / 0.00131966 | 0 / 0 |
 | PDF no. 5 | -nan / -nan | 0.000901839 / -0.000901834 | 0.000901839 / -0.000901834 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 6 | -nan / -nan | -0.00755443 / 0.0075548 | -0.00755443 / 0.0075548 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 7 | -nan / -nan | -0.00021142 / 0.000211421 | -0.00021142 / 0.000211421 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 8 | -nan / -nan | -0.000260016 / 0.000260016 | -0.000260016 / 0.000260016 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 9 | -nan / -nan | -0.00503117 / 0.00503134 | -0.00503117 / 0.00503134 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 10 | -nan / -nan | 0.00134556 / -0.00134555 | 0.00134556 / -0.00134555 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 11 | -nan / -nan | -0.00742947 / 0.00742983 | -0.00742947 / 0.00742983 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 12 | -nan / -nan | -0.00232597 / 0.002326 | -0.00232597 / 0.002326 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 13 | -nan / -nan | 0.00145379 / -0.00145378 | 0.00145379 / -0.00145378 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 14 | -nan / -nan | -0.00151323 / 0.00151325 | -0.00151323 / 0.00151325 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 15 | -nan / -nan | 0.000518713 / -0.000518711 | 0.000518713 / -0.000518711 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 16 | -nan / -nan | -0.00263361 / 0.00263366 | -0.00263361 / 0.00263366 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 17 | -nan / -nan | 0.00704099 / -0.00704067 | 0.00704099 / -0.00704067 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 18 | -nan / -nan | 0.00274117 / -0.00274112 | 0.00274117 / -0.00274112 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 19 | -nan / -nan | -0.00849354 / 0.00849401 | -0.00849354 / 0.00849401 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 20 | -nan / -nan | -0.000821082 / 0.000821086 | -0.000821082 / 0.000821086 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 21 | -nan / -nan | -0.00123426 / 0.00123427 | -0.00123426 / 0.00123427 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 22 | -nan / -nan | 0.00543248 / -0.00543228 | 0.00543248 / -0.00543228 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 23 | -nan / -nan | 0.000811007 / -0.000811003 | 0.000811007 / -0.000811003 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 24 | -nan / -nan | -0.00109687 / 0.00109688 | -0.00109687 / 0.00109688 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 25 | -nan / -nan | -0.000699294 / 0.000699297 | -0.000699294 / 0.000699297 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 26 | -nan / -nan | 0.00271309 / -0.00271305 | 0.00271309 / -0.00271305 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 27 | -nan / -nan | 0.00126241 / -0.0012624 | 0.00126241 / -0.0012624 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 28 | -nan / -nan | 0.00926091 / -0.00926035 | 0.00926091 / -0.00926035 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 29 | -nan / -nan | 0.000619024 / -0.000619022 | 0.000619024 / -0.000619022 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | PDF no. 30 | -nan / -nan | -0.000550268 / 0.00055027 | -0.000550268 / 0.00055027 | 0 / 0 | -0.0296828 / 0.0296885 | 0 / 0 | 0 / 0 | 0.417677 / -0.416507 | -0.00132092 / 0.00132093 | 0 / 0 |
 | Muon momentum resolution (ID) | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon momentum resolution (MS) | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon momentum scale | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon Sagitta ResBias | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon Sagitta Rho | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Met ResoPara | -nan / -nan | 0.0118947 / -0.0119067 | 0.00886272 / -0.0088694 | 0.0104188 / -0.0104281 | 0.406318 / -0.422732 | -0.100164 / 0.0993358 | 0.0586364 / -0.0589332 | -1.31759e-08 / 1.31759e-08 | -0.370371 / 0.359664 | -0.0546601 / 0.0544106 |
 | Met ResoPerp | -nan / -nan | 0.0205028 / -0.0205094 | 0.0115265 / -0.0115285 | 0.0159518 / -0.0159558 | 0.0377686 / -0.0377914 | 0.0408334 / -0.04086 | -0.0244939 / 0.0244846 | -1.41038e-08 / 1.41038e-08 | -0.0140621 / 0.014059 | -0.0407278 / 0.0407022 |
 | MET Scale | -nan / -nan | 0.00698581 / -0.00698694 | 5.34196e-05 / -5.34215e-05 | 2.83354e-08 / 2.92083e-08 | -0.180713 / 0.179881 | -0.0769208 / 0.0767765 | -0.000387176 / 0.000387184 | -0.0180613 / 0.0180536 | -0.209043 / 0.207916 | -0.035939 / 0.035908 |
 | Electron energy resolution | -nan / -nan | -1.8789e-05 / 1.88145e-05 | -0.00609046 / 0.00608976 | -0.0035246 / 0.00352443 | 0.223284 / -0.18377 | 0.0645424 / -0.0601605 | -0.0142815 / 0.0142776 | -0.118829 / 0.118571 | 0.0363062 / -0.0363315 | 0.0207927 / -0.0208009 |
 | Electron energy scale | -nan / -nan | 0.0157771 / -0.0133863 | 0.010114 / -0.0101164 | -0.00182135 / 0.0169138 | 0.222203 / -0.157747 | -0.0310304 / 0.0432444 | 0.000570491 / 0.00090149 | 0.0180702 / -0.0149064 | 0.0249489 / -0.024964 | -0.000230146 / 0.000230201 |
 | AF2 Electron energy scale | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | BJES Response | -nan / -nan | 0.0116995 / -0.0117009 | 0.000817672 / -0.000817681 | 2.01411e-05 / -2.01648e-05 | 0.0292634 / -0.0292722 | 0.068803 / -0.0688527 | 0.00300135 / -0.00300143 | 0.0553024 / -0.0553344 | -0.0233735 / 0.023368 | -0.0126312 / 0.0126296 |
 | JES EffectiveNP Detector1 | -nan / -nan | -0.00512993 / 0.00512978 | 0.0016859 / -0.00168592 | -0.0028833 / 0.00288322 | 6.12683e-06 / -6.12102e-06 | -0.00922843 / 0.0092279 | 0.00148124 / -0.00148124 | 5.74262e-06 / -5.69822e-06 | 7.26429e-05 / -7.26476e-05 | 0.00230664 / -0.00230669 |
 | JES EffectiveNP Detector2 | -nan / -nan | 2.59134e-06 / -2.5654e-06 | 4.89002e-07 / -4.90885e-07 | -3.0226e-07 / 3.61222e-07 | 3.77596e-07 / -3.71742e-07 | 1.17113e-06 / -1.12668e-06 | -1.06801e-06 / 1.00844e-06 | 5.90323e-08 / -1.43282e-08 | 8.10432e-06 / -8.10904e-06 | -8.76597e-06 / 8.75023e-06 |
 | JES EffectiveNP Mixed1 | -nan / -nan | -0.0051337 / 0.00513354 | 0.00109669 / -0.0010967 | -0.00288286 / 0.00288286 | 8.08911e-06 / -8.0833e-06 | -0.0781484 / 0.0781072 | 0.00308418 / -0.00308423 | 5.37821e-06 / -5.3338e-06 | 8.82123e-06 / -8.82591e-06 | 0.00231215 / -0.0023122 |
 | JES EffectiveNP Mixed2 | -nan / -nan | 0.0051484 / -0.00514856 | -0.00168435 / 0.00168433 | 0.00288577 / -0.00288577 | -2.53379e-05 / 2.53437e-05 | 0.0873987 / -0.0874506 | -0.00147223 / 0.00147223 | -5.77093e-06 / 5.74246e-06 | -6.21087e-05 / 6.2104e-05 | -0.00230655 / 0.00230657 |
 | JES EffectiveNP Mixed3 | -nan / -nan | -0.0051588 / 0.00515873 | 0.000481722 / -0.000481724 | -8.82806e-07 / 8.58833e-07 | 1.19506e-06 / -1.1892e-06 | 7.18919e-06 / -7.25416e-06 | -3.43086e-06 / 3.44289e-06 | 1.32393e-07 / -8.76888e-08 | 8.2768e-06 / -8.28152e-06 | -8.76597e-06 / 8.75023e-06 |
 | JES EffectiveNP Modelling1 | -nan / -nan | 0.0369228 / -0.0369602 | -0.000519003 / 0.000518993 | -0.0106911 / 0.0258677 | -0.163362 / 0.1878 | 0.0192936 / -0.0139963 | 0.0554705 / -0.0540847 | -0.0995753 / 0.0992963 | 0.176825 / -0.177669 | 0.0728757 / -0.0730209 |
 | JES EffectiveNP Modelling2 | -nan / -nan | 0.00885428 / -0.0088548 | -0.000144078 / 0.000144076 | -0.00286344 / 0.00286336 | -7.74325e-06 / 7.74906e-06 | -0.063761 / 0.0637324 | -0.0125895 / 0.0125884 | 0.000109559 / -0.000109515 | -4.55664e-05 / 4.55617e-05 | 0.00230815 / -0.0023082 |
 | JES EffectiveNP Modelling3 | -nan / -nan | -0.00512383 / 0.00512368 | -0.000989966 / 0.000989958 | 0.00288134 / -0.00288142 | -1.65496e-06 / 1.66077e-06 | 0.0638309 / -0.0638582 | -0.00149412 / 0.00149411 | -5.11527e-06 / 5.08681e-06 | -1.2167e-05 / 1.21624e-05 | -0.00230998 / 0.00230993 |
 | JES EffectiveNP Modelling4 | -nan / -nan | 4.20914e-06 / -4.28431e-06 | 1.25114e-06 / -1.25302e-06 | -6.34e-07 / 6.10027e-07 | 6.50083e-07 / -6.44229e-07 | -3.42448e-06 / 3.46893e-06 | -1.56922e-06 / 1.58125e-06 | -1.43282e-08 / -1.43282e-08 | 9.13922e-06 / -9.14393e-06 | -1.23572e-05 / 1.23414e-05 |
 | JES EffectiveNP Stat1 | -nan / -nan | -0.00512166 / 0.00512151 | 0.00017407 / -0.000174072 | -0.00289693 / 0.00289685 | 4.84121e-06 / -4.83539e-06 | -0.00923529 / 0.00923465 | -7.88893e-06 / 7.90088e-06 | 5.88844e-06 / -5.84404e-06 | 6.03076e-05 / -6.03123e-05 | -1.38766e-05 / 1.3861e-05 |
 | JES EffectiveNP Stat2 | -nan / -nan | 0.00885229 / -0.00885281 | -0.000747323 / 0.000747317 | 2.04556e-05 / -2.03971e-05 | -2.35741e-05 / 2.35799e-05 | 0.00924941 / -0.00924996 | -0.0157782 / 0.0157765 | 0.000270426 / -0.000270455 | 0.000346272 / -0.000346277 | 0.0162005 / -0.0162023 |
 | JES EffectiveNP Stat3 | -nan / -nan | -0.00513358 / 0.00513343 | -2.43434e-06 / 2.43247e-06 | 0.00288019 / -0.00288027 | -1.18128e-06 / 1.1871e-06 | 8.37252e-07 / -9.01788e-07 | 8.96769e-06 / -8.95575e-06 | -5.33389e-06 / 5.30543e-06 | -2.14402e-06 / 2.13933e-06 | -0.00230532 / 0.00230534 |
 | JES EffectiveNP Stat4 | -nan / -nan | 0.00515731 / -0.00515739 | -8.65032e-05 / 8.65013e-05 | 1.3465e-05 / -1.3489e-05 | 1.3313e-06 / -1.32545e-06 | -2.43971e-06 / 2.48416e-06 | 0.00150987 / -0.00150986 | 5.19427e-06 / -5.22293e-06 | 1.91432e-05 / -1.91479e-05 | 8.16391e-06 / -8.17965e-06 |
 | JES EffectiveNP Stat5 | -nan / -nan | -0.00517002 / 0.00516995 | 0.000466044 / -0.000466046 | -0.0029124 / 0.00291246 | -6.44229e-07 / 6.50083e-07 | 7.69354e-08 / -3.24839e-08 | -2.42844e-06 / 2.44047e-06 | -5.36965e-06 / 5.34099e-06 | -1.81993e-05 / 1.81946e-05 | -1.33099e-05 / 1.32942e-05 |
 | JES EffectiveNP Stat6 | -nan / -nan | -0.00515425 / 0.00515428 | 0.000959689 / -0.000959691 | -1.96096e-06 / 1.93699e-06 | 3.30683e-06 / -3.30097e-06 | 7.95512e-06 / -8.02009e-06 | -1.0591e-05 / 1.0603e-05 | 5.70779e-06 / -5.66309e-06 | 8.10432e-06 / -8.10904e-06 | -1.55819e-05 / 1.55662e-05 |
 | JES EtaIntercalibration Modeling | -nan / -nan | -0.0219433 / 0.0219248 | -0.00453722 / 0.00453643 | -0.00283892 / 0.00283859 | -0.124724 / 0.148817 | 0.0645701 / -0.0647253 | 0.00782113 / -0.00782345 | -0.134168 / 0.13344 | -0.0124951 / 0.0124891 | -0.00130154 / 0.00130153 |
 | JES EtaIntercalibration Nonclosure HighE | -nan / -nan | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | JES EtaIntercalibration Nonclosure NegEta | -nan / -nan | 2.27277e-06 / -2.247e-06 | 0.000543838 / -0.000543842 | 2.92753e-08 / 2.92939e-08 | -3.09166e-08 / -3.09363e-08 | 1.85107e-07 / -1.40951e-07 | 5.97148e-09 / 5.97527e-09 | -1.42283e-08 / -1.42374e-08 | -2.34171e-09 / -2.3432e-09 | -0.0162622 / 0.0162604 |
 | JES EtaIntercalibration Nonclosure PosEta | -nan / -nan | 1.36844e-06 / -1.34268e-06 | -3.17341e-05 / 3.17322e-05 | 2.93369e-08 / 2.92145e-08 | -3.09817e-08 / -3.08525e-08 | -3.23252e-08 / -3.21904e-08 | -3.69142e-06 / 3.70337e-06 | -1.42583e-08 / -1.41988e-08 | 0.0813679 / -0.0814149 | 2.86314e-08 / 2.8512e-08 |
 | JES EtaIntercalibration TotalStat | -nan / -nan | -0.00872419 / 0.00872324 | 0.00361699 / -0.00361714 | -0.00289725 / 0.00289713 | 0.0292344 / -0.0292443 | -0.0159011 / 0.0158981 | 0.0172315 / -0.017235 | -0.119219 / 0.119056 | -0.000362515 / 0.000362509 | -0.013843 / 0.0138407 |
