 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | Muon trigger eff. (syst) | -0.00634831 / 0.0063484 | -0.00625959 / 0.00625959 | -0.0063608 / 0.00636076 | -0.00623764 / 0.00623766 | -0.00648521 / 0.00648523 | -0.00611249 / 0.00611248 | -0.0064368 / 0.00643683 | -0.00638765 / 0.0063876 | -0.00628495 / 0.00628496 | -0.00649025 / 0.00649024 |
 | SF(photon ID) | 0.00651998 / -0.00651997 | 0.00857037 / -0.00857036 | 0.00753793 / -0.00753792 | 0.00814014 / -0.00814013 | 0.0083129 / -0.00831289 | 0.00785742 / -0.0078574 | 0.00728481 / -0.00728479 | 0.00784688 / -0.00784687 | 0.00837876 / -0.00837875 | 0.00787184 / -0.00787183 |
 | SF(photon iso.) | -0.00037061 / -0.00037061 | -0.000938208 / -0.000938208 | -0.000957366 / -0.000957366 | -0.00106604 / -0.00106604 | -0.00117947 / -0.00117947 | -0.00105026 / -0.00105026 | -0.00106286 / -0.00106286 | -0.000382013 / -0.000382013 | -0.00120324 / -0.00120324 | -0.00143173 / -0.00143173 |
 | Pile-up | -0.00425248 / -0.00116653 | 0.012745 / -0.00523269 | -0.00313864 / 0.0026768 | 0.00780053 / -0.00129081 | -0.02895 / -0.0560494 | 0.0385937 / -0.00733127 | -0.00114195 / 0.00378039 | 0.0553132 / -0.0240824 | 0.0136946 / -0.0282142 | 0.00928327 / -0.0102399 |
 | JVT | 0.00757346 / -0.00812469 | 0.00736873 / -0.00795813 | 0.0066259 / -0.00744823 | 0.00689939 / -0.00740582 | 0.00643081 / -0.0069668 | -0.00150351 / -0.00487291 | 0.00679712 / -0.00717351 | 0.00698465 / -0.00783087 | 0.00631258 / -0.00689597 | 0.00586937 / -0.00699659 |
 | EGamFake | 9.20156e-05 / -9.20156e-05 | 0.03297 / -0.03297 | 0.000471175 / -0.000471175 | 0.032967 / -0.032967 | 0.0174597 / -0.0174597 | 0.0269285 / -0.0269285 | 0 / 0 | 0.000653553 / -0.000653553 | 0.00331827 / -0.00331827 | 0.000134168 / -0.000134168 |
 | JGamFake | 0.000645133 / -0.000645133 | 0.232744 / -0.232744 | 0.00208495 / -0.00208495 | 0.208394 / -0.208394 | 0.140485 / -0.140485 | 0.126766 / -0.126766 | 0.000838144 / -0.000838144 | 0.338575 / -0.338575 | 0.191258 / -0.191258 | 0.0104175 / -0.0104175 |
 | PDF Unc. NNPDF | -0.00509995 / 0.00509995 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0244921 / 0.0244921 | 0 / 0 | 0 / 0 | 0.00317318 / -0.00317318 | 0.027491 / -0.027491 | 0 / 0 |
 | c-tag Eigenvar. 1 | -0.00634612 / 0.00634611 | -0.00340463 / 0.00340463 | -0.00699709 / 0.00699717 | -0.00807721 / 0.00807715 | -0.00469628 / 0.0046963 | -0.0100425 / 0.0100425 | -0.00506981 / 0.00506974 | -0.00496815 / 0.00496816 | -0.00488294 / 0.00488294 | -0.00639774 / 0.00639772 |
 | c-tag Eigenvar. 2 | 0.00197412 / -0.00197413 | 0.000858975 / -0.000858979 | 0.00192476 / -0.00192479 | 0.00275814 / -0.00275812 | 0.00109256 / -0.00109253 | 0.00265726 / -0.00265718 | 0.00174462 / -0.00174468 | 0.00121532 / -0.00121531 | 0.0014884 / -0.0014884 | 0.00168813 / -0.00168814 |
 | c-tag Eigenvar. 3 | 0.000136248 / -0.000136253 | -0.000143573 / 0.00014357 | -0.000396281 / 0.000396353 | -0.00110029 / 0.00110031 | -0.000305069 / 0.00030509 | -0.000569083 / 0.000569167 | -0.000291862 / 0.000291895 | -0.000501342 / 0.00050135 | -0.000419983 / 0.00041999 | -0.000628744 / 0.000628727 |
 | c-tag Eigenvar. 4 | -0.000688334 / 0.000688329 | -0.000249397 / 0.000249393 | -0.000641149 / 0.000641115 | -0.000865679 / 0.000865622 | -0.000318817 / 0.000318737 | -0.000982063 / 0.000982147 | -0.000532672 / 0.000532706 | -0.000369128 / 0.000369135 | -0.000429009 / 0.000428956 | -0.000503221 / 0.000503204 |
 | c-tag Eigenvar. 5 | -0.000762444 / 0.000762439 | -0.000301688 / 0.000301684 | -0.000657728 / 0.000657694 | -0.000397845 / 0.000397789 | -0.000547576 / 0.000547597 | -0.00119633 / 0.00119642 | -0.000398121 / 0.000398155 | -0.00040909 / 0.000409097 | -0.000373944 / 0.000373951 | -0.000559604 / 0.000559587 |
 | c-tag Eigenvar. 6 | -0.000474225 / 0.000474221 | -0.000182465 / 0.000182461 | -0.000425082 / 0.000425048 | -0.000193899 / 0.000193842 | -0.000308001 / 0.000308022 | -0.000769322 / 0.00076931 | -0.000164791 / 0.000164729 | -0.000239039 / 0.000239047 | -0.000148533 / 0.000148541 | -0.000302812 / 0.000302795 |
 | c-tag Eigenvar. 7 | 0.000697489 / -0.000697493 | 0.00028018 / -0.000280183 | 0.000471067 / -0.000471101 | 0.000240397 / -0.000240381 | 0.000195209 / -0.000195188 | 0.000476014 / -0.000476026 | 0.000345121 / -0.000345087 | 0.00019204 / -0.000192032 | 0.000234925 / -0.000234918 | 0.000221775 / -0.000221792 |
 | c-tag Eigenvar. 8 | 0.000107416 / -0.000107421 | -7.87978e-05 / 7.87941e-05 | 1.16205e-05 / -1.16547e-05 | 7.14595e-05 / -7.14428e-05 | 0.000210473 / -0.000210452 | 0.000496535 / -0.000496546 | 0.000129149 / -0.000129211 | 1.29399e-05 / -1.29322e-05 | 0.000111043 / -0.000111096 | 0.000157796 / -0.000157716 |
 | c-tag Eigenvar. 9 | -0.000216296 / 0.000216292 | -0.000124356 / 0.000124353 | -0.000145567 / 0.000145533 | -1.34876e-05 / 1.35042e-05 | 7.35007e-05 / -7.34795e-05 | 0.000167162 / -0.000167078 | -1.90198e-05 / 1.90534e-05 | -1.39299e-06 / 1.33996e-06 | 2.70818e-05 / -2.70748e-05 | 6.0708e-05 / -6.06277e-05 |
 | c-tag Eigenvar. 10 | 0.000663868 / -0.000663873 | 0.000310966 / -0.00031097 | 0.000556516 / -0.00055655 | 0.000385727 / -0.00038571 | 0.000260713 / -0.000260692 | 0.000595413 / -0.000595425 | 0.000331215 / -0.000331277 | 0.000296378 / -0.00029637 | 0.000258429 / -0.000258422 | 0.000328017 / -0.000328034 |
 | c-tag Eigenvar. 11 | 0.000974154 / -0.000974158 | 0.000318744 / -0.000318748 | 0.000764718 / -0.000764646 | 0.000691316 / -0.000691299 | 0.000456923 / -0.000456901 | 0.00116015 / -0.00116016 | 0.000526568 / -0.00052663 | 0.000362091 / -0.000362083 | 0.000395456 / -0.000395449 | 0.000528522 / -0.00052854 |
 | c-tag Eigenvar. 12 | 0.000648151 / -0.000648156 | 0.000276715 / -0.000276719 | 0.0005664 / -0.000566328 | 0.000555842 / -0.000555898 | 0.00027153 / -0.000271508 | 0.000746308 / -0.000746224 | 0.000410143 / -0.000410205 | 0.000332332 / -0.000332324 | 0.000323853 / -0.000323846 | 0.000388977 / -0.000388896 |
 | c-tag Eigenvar. 13 | 0.000575394 / -0.000575399 | 0.00022449 / -0.000224494 | 0.000479888 / -0.000479923 | 0.000548634 / -0.000548617 | 0.000288108 / -0.000288087 | 0.000598277 / -0.000598288 | 0.000381468 / -0.000381434 | 0.000281681 / -0.000281673 | 0.00030362 / -0.000303613 | 0.000374175 / -0.000374095 |
 | c-tag Eigenvar. 14 | -0.000150513 / 0.000150508 | -5.00377e-05 / 5.00341e-05 | -0.000109007 / 0.000108973 | -0.000232143 / 0.00023216 | -9.65272e-05 / 9.65484e-05 | -0.000189889 / 0.000189877 | -0.000192795 / 0.000192732 | -8.95157e-05 / 8.95234e-05 | -0.000155076 / 0.000155083 | -0.000142914 / 0.000142897 |
 | c-tag Eigenvar. 15 | -0.000540633 / 0.000540629 | -0.00016279 / 0.000162787 | -0.000355682 / 0.000355648 | -0.000642978 / 0.000642995 | -0.000294152 / 0.000294173 | -0.000555434 / 0.000555423 | -0.000600091 / 0.000600029 | -0.00024408 / 0.000244087 | -0.000500794 / 0.000500801 | -0.000411878 / 0.000411958 |
 | c-tag Eigenvar. 16 | 0.00132316 / -0.00132316 | 0.000374304 / -0.000374307 | 0.000829548 / -0.000829583 | 0.000856282 / -0.000856265 | 0.000576205 / -0.000576184 | 0.00138005 / -0.00138006 | 0.000947866 / -0.000947929 | 0.000323161 / -0.000323153 | 0.00069356 / -0.000693553 | 0.000649566 / -0.000649583 |
 | c-tag Eigenvar. 17 | -0.0007766 / 0.000776595 | -0.000323585 / 0.000323581 | -0.000663999 / 0.000663965 | -0.000606425 / 0.000606442 | -0.000283437 / 0.000283458 | -0.00104983 / 0.00104982 | -0.00044099 / 0.000440927 | -0.000297464 / 0.000297471 | -0.000252485 / 0.000252432 | -0.000400192 / 0.000400273 |
 | c-tag Eigenvar. 18 | 0.00118066 / -0.00118067 | 0.000127817 / -0.000127821 | 0.000568738 / -0.000568772 | 0.000267463 / -0.000267446 | 0.000670115 / -0.000670093 | 0.000817986 / -0.000817997 | 0.00034349 / -0.000343457 | 1.27577e-05 / -1.28107e-05 | 0.000233289 / -0.000233282 | 0.000389171 / -0.000389189 |
 | c-tag Eigenvar. 19 | -0.00405817 / 0.00405817 | -0.00146843 / 0.00146843 | -0.00329697 / 0.00329694 | -0.00247842 / 0.00247844 | -0.00183431 / 0.00183433 | -0.00463084 / 0.00463082 | -0.00190657 / 0.0019065 | -0.00151005 / 0.00151005 | -0.00147604 / 0.00147604 | -0.00207338 / 0.00207336 |
 | c-tag Eigenvar. 20 | -0.00143454 / 0.00143453 | -0.00101677 / 0.00101676 | -0.00173764 / 0.0017376 | -0.00177847 / 0.00177849 | -0.00117937 / 0.00117939 | -0.00216918 / 0.00216917 | -0.00122768 / 0.00122771 | -0.00140589 / 0.0014059 | -0.00128479 / 0.0012848 | -0.00163001 / 0.00163009 |
 | light-tag Eigenvar. 1 | -0.0018893 / 0.00188929 | -0.00190689 / 0.00190695 | -0.00162944 / 0.00162941 | -0.000619223 / 0.000619239 | -0.00177821 / 0.00177813 | -0.00015028 / 0.000150269 | -0.002451 / 0.00245094 | -0.00299939 / 0.00299933 | -0.00461034 / 0.00461034 | -0.0017603 / 0.00176028 |
 | light-tag Eigenvar. 2 | 0.00175335 / -0.00175336 | 0.00175648 / -0.00175649 | 0.00163323 / -0.00163316 | 0.00149158 / -0.00149164 | 0.00175366 / -0.00175364 | 0.00117046 / -0.00117037 | 0.00220764 / -0.0022076 | 0.00257305 / -0.00257305 | 0.00308548 / -0.00308547 | 0.00195787 / -0.00195789 |
 | light-tag Eigenvar. 3 | -0.000141978 / 0.000142077 | -0.00015475 / 0.000154747 | -0.00014833 / 0.000148296 | -0.000204416 / 0.000204359 | -0.000182754 / 0.000182775 | -0.000110099 / 0.000110087 | -0.000193466 / 0.000193499 | -0.000164217 / 0.000164224 | -0.000175006 / 0.000175013 | -0.000212054 / 0.000212037 |
 | light-tag Eigenvar. 4 | 0.000693637 / -0.000693642 | 0.000704194 / -0.000704198 | 0.000655781 / -0.000655709 | 0.000637111 / -0.000637095 | 0.000723185 / -0.000723265 | 0.000459789 / -0.000459705 | 0.000884954 / -0.000884921 | 0.000990367 / -0.00099036 | 0.00118473 / -0.00118472 | 0.000808101 / -0.000808118 |
 | light-tag Eigenvar. 5 | 0.00079148 / -0.000791484 | 0.000821195 / -0.000821199 | 0.000761742 / -0.000761776 | 0.000780381 / -0.000780365 | 0.0008641 / -0.000864079 | 0.000478782 / -0.000478794 | 0.00103332 / -0.00103338 | 0.00108232 / -0.00108231 | 0.00132745 / -0.00132744 | 0.000973745 / -0.000973762 |
 | light-tag Eigenvar. 6 | 0.000115639 / -0.000115644 | 0.000116248 / -0.000116251 | 0.000107697 / -0.000107731 | 9.77894e-05 / -9.77727e-05 | 0.00011808 / -0.00011816 | 7.4678e-05 / -7.46897e-05 | 0.00014622 / -0.000146186 | 0.000169812 / -0.000169865 | 0.000205484 / -0.000205537 | 0.000129264 / -0.000129281 |
 | light-tag Eigenvar. 7 | 0.000457983 / -0.000457988 | 0.000467447 / -0.000467385 | 0.000431744 / -0.000431672 | 0.000407864 / -0.000407848 | 0.000476432 / -0.000476512 | 0.000277398 / -0.00027741 | 0.000588329 / -0.000588295 | 0.000652999 / -0.000653052 | 0.000804841 / -0.000804834 | 0.000532807 / -0.000532824 |
 | light-tag Eigenvar. 8 | 0.000129587 / -0.000129591 | 0.000127882 / -0.000127886 | 0.000120557 / -0.000120591 | 0.000114852 / -0.000114836 | 0.000125257 / -0.000125236 | 0.000102643 / -0.000102654 | 0.000159934 / -0.0001599 | 0.000192708 / -0.0001927 | 0.000217539 / -0.000217532 | 0.000142994 / -0.000143011 |
 | light-tag Eigenvar. 9 | 0.000392304 / -0.000392309 | 0.000404632 / -0.000404636 | 0.000376904 / -0.000376831 | 0.000392052 / -0.000392035 | 0.000410524 / -0.000410503 | 0.000258023 / -0.000258035 | 0.000507291 / -0.000507258 | 0.000538093 / -0.000538085 | 0.000644734 / -0.000644727 | 0.000480611 / -0.000480629 |
 | light-tag Eigenvar. 10 | 6.55728e-05 / -6.54735e-05 | 5.87275e-05 / -5.87311e-05 | 5.30696e-05 / -5.31038e-05 | 1.61519e-05 / -1.61353e-05 | 3.7817e-05 / -3.77958e-05 | 4.22275e-05 / -4.22392e-05 | 7.30463e-05 / -7.30128e-05 | 0.000117217 / -0.00011721 | 0.000146784 / -0.000146777 | 4.61009e-05 / -4.61181e-05 |
 | light-tag Eigenvar. 11 | -4.18456e-05 / 4.18409e-05 | -5.11489e-05 / 5.11453e-05 | -4.91714e-05 / 4.91372e-05 | -8.91677e-05 / 8.91843e-05 | -6.11469e-05 / 6.1067e-05 | -3.19314e-05 / 3.19197e-05 | -6.34225e-05 / 6.33602e-05 | -3.01802e-05 / 3.01879e-05 | -2.83469e-05 / 2.8354e-05 | -8.33173e-05 / 8.33002e-05 |
 | light-tag Eigenvar. 12 | -0.00047256 / 0.000472555 | -0.000488367 / 0.000488363 | -0.000451865 / 0.000451937 | -0.000470142 / 0.000470159 | -0.00049208 / 0.000492101 | -0.00031511 / 0.000315098 | -0.000609298 / 0.000609331 | -0.000656939 / 0.000656946 | -0.000782481 / 0.000782488 | -0.00057499 / 0.000574973 |
 | light-tag Eigenvar. 13 | 0.000866215 / -0.000866219 | 0.000905514 / -0.000905518 | 0.000836669 / -0.000836703 | 0.000915929 / -0.000915912 | 0.000915755 / -0.000915835 | 0.000592836 / -0.000592753 | 0.00112241 / -0.00112237 | 0.00118271 / -0.0011827 | 0.00138699 / -0.00138699 | 0.00108534 / -0.00108536 |
 | light-tag Eigenvar. 14 | -0.000786905 / 0.0007869 | -0.000870614 / 0.00087061 | -0.000775061 / 0.000775133 | -0.000687916 / 0.000687932 | -0.000479343 / 0.000479364 | -0.000413511 / 0.0004135 | -0.000700309 / 0.000700343 | -0.00101678 / 0.00101679 | -0.000939136 / 0.000939143 | -0.000799743 / 0.000799726 |
 | light-tag Eigenvar. 15 | -0.000108982 / 0.000108977 | -0.000171091 / 0.000171088 | -0.000124524 / 0.000124596 | -0.000368794 / 0.000368811 | -0.000331554 / 0.000331575 | -9.78823e-05 / 9.78706e-05 | -0.000292149 / 0.000292087 | -0.000120125 / 0.000120133 | -0.000177187 / 0.000177194 | -0.000332318 / 0.000332301 |
 | light-tag Eigenvar. 16 | 8.17064e-05 / -8.17111e-05 | 7.65718e-05 / -7.65754e-05 | 9.56877e-05 / -9.56156e-05 | 0.000195681 / -0.000195664 | -4.5383e-06 / 4.5595e-06 | 9.20486e-05 / -9.20603e-05 | 0.000169044 / -0.000169011 | 1.32435e-05 / -1.32358e-05 | 6.22776e-05 / -6.22706e-05 | 0.000205804 / -0.000205822 |
 | light-tag Eigenvar. 17 | 0.000922942 / -0.000922947 | 0.00095774 / -0.000957744 | 0.000897355 / -0.000897283 | 0.00116378 / -0.00116377 | 0.000983686 / -0.000983664 | 0.000952369 / -0.000952381 | 0.00118283 / -0.00118289 | 0.00132488 / -0.00132487 | 0.00122646 / -0.00122646 | 0.0011909 / -0.00119092 |
 | light-tag Eigenvar. 18 | 6.90077e-05 / -6.90124e-05 | 7.9121e-05 / -7.91246e-05 | 7.6026e-05 / -7.60602e-05 | -4.30536e-05 / 4.29967e-05 | 4.62072e-05 / -4.6186e-05 | -2.20054e-05 / 2.19937e-05 | -4.96126e-05 / 4.96462e-05 | 0.000114363 / -0.000114355 | -5.26387e-05 / 5.26457e-05 | -3.23875e-05 / 3.24677e-05 |
 | light-tag Eigenvar. 19 | 0.000178612 / -0.000178617 | 0.00015174 / -0.000151744 | 0.000182731 / -0.000182765 | 0.000230027 / -0.000230084 | 0.000170038 / -0.000170017 | 0.000226814 / -0.00022673 | 0.000222366 / -0.000222332 | 0.000194469 / -0.000194461 | 0.00022499 / -0.000224983 | 0.000233655 / -0.000233672 |
 | light-tag Eigenvar. 20 | -0.000191315 / 0.000191311 | -0.000171614 / 0.000171611 | -0.000197963 / 0.000197929 | -0.000220155 / 0.000220172 | -0.00019074 / 0.000190761 | -0.000217758 / 0.000217747 | -0.000206029 / 0.000206063 | -0.000206183 / 0.00020619 | -0.000193785 / 0.000193792 | -0.000225785 / 0.000225767 |
 | b-tag Eigenvar. 2 | 0.00649277 / -0.00649277 | 0.0121432 / -0.0121432 | 0.0116862 / -0.0116862 | 4.31085e-06 / -4.31085e-06 | 0.0091432 / -0.0091432 | 0.0113309 / -0.0113309 | 0.000117545 / -0.000117545 | 0.00019951 / -0.00019951 | 0.000235288 / -0.000235288 | 0.000196943 / -0.000196943 |
 | b-tag Eigenvar. 3 | 0.00691808 / -0.00691808 | 0.0132878 / -0.0132878 | 0.0139958 / -0.0139958 | 0.000206639 / -0.000206639 | 0.013599 / -0.013599 | 0.0176759 / -0.0176759 | 0.000292375 / -0.000292375 | 0.00031065 / -0.00031065 | 0.000460577 / -0.000460577 | 0.00048587 / -0.00048587 |
 | b-tag Eigenvar. 4 | -0.00256503 / 0.00256503 | -0.00486479 / 0.00486479 | -0.00502614 / 0.00502614 | -8.04891e-05 / 8.04891e-05 | -0.00500115 / 0.00500115 | -0.00617357 / 0.00617357 | -0.000102742 / 0.000102742 | -0.000111683 / 0.000111683 | -0.000159498 / 0.000159498 | -0.000160345 / 0.000160345 |
 | b-tag Eigenvar. 5 | -0.00405713 / 0.00405713 | -0.00699036 / 0.00699036 | -0.00468753 / 0.00468753 | -0.000314811 / 0.000314811 | -0.00690088 / 0.00690088 | -0.00424649 / 0.00424649 | -0.000226264 / 0.000226264 | -0.00025653 / 0.00025653 | -7.80814e-05 / 7.80814e-05 | -0.000248085 / 0.000248085 |
 | b-tag Eigenvar. 6 | -0.00658573 / 0.00658573 | -0.0129349 / 0.0129349 | -0.01179 / 0.01179 | -0.000129913 / 0.000129913 | -0.00750467 / 0.00750467 | -0.01253 / 0.01253 | -0.000177258 / 0.000177258 | -0.000197984 / 0.000197984 | -0.000196511 / 0.000196511 | -0.000247598 / 0.000247598 |
 | b-tag Eigenvar. 7 | -0.00109948 / 0.00109948 | -0.00193121 / 0.00193121 | -0.00136311 / 0.00136311 | -1.08399e-05 / 1.08399e-05 | -0.000451241 / 0.000451241 | -0.000603156 / 0.000603156 | -1.96911e-05 / 1.96911e-05 | -2.7265e-05 / 2.7265e-05 | -1.8291e-05 / 1.8291e-05 | -8.13982e-06 / 8.13982e-06 |
 | b-tag Eigenvar. 8 | 0.00807282 / -0.00807282 | 0.0146612 / -0.0146612 | 0.0127743 / -0.0127743 | 0.000144198 / -0.000144198 | 0.00852405 / -0.00852405 | 0.0110183 / -0.0110183 | 0.000233682 / -0.000233682 | 0.000268866 / -0.000268866 | 0.000366197 / -0.000366197 | 0.000251573 / -0.000251573 |
 | b-tag Eigenvar. 9 | 0.000519811 / -0.000519811 | 0.000570656 / -0.000570656 | 0.000316962 / -0.000316962 | 2.51983e-05 / -2.51983e-05 | 0.00109144 / -0.00109144 | 0.000657165 / -0.000657165 | 3.69871e-05 / -3.69871e-05 | 6.54734e-05 / -6.54734e-05 | 3.13223e-05 / -3.13223e-05 | 2.29245e-05 / -2.29245e-05 |
 | b-tag Eigenvar. 10 | -0.0090804 / 0.0090804 | -0.0154516 / 0.0154516 | -0.0139404 / 0.0139404 | -0.000123661 / 0.000123661 | -0.0103926 / 0.0103926 | -0.0112532 / 0.0112532 | -0.000266543 / 0.000266543 | -0.000355888 / 0.000355888 | -0.000396842 / 0.000396842 | -0.000347705 / 0.000347705 |
 | b-tag Eigenvar. 11 | -0.00165812 / 0.00165812 | -0.00328031 / 0.00328031 | -0.00296293 / 0.00296293 | -9.44249e-06 / 9.44249e-06 | -0.00364123 / 0.00364123 | -0.00150366 / 0.00150366 | -3.69535e-05 / 3.69535e-05 | -8.47786e-05 / 8.47786e-05 | -5.56676e-05 / 5.56676e-05 | -9.53925e-05 / 9.53925e-05 |
 | b-tag Eigenvar. 12 | -0.00028895 / 0.00028895 | -0.000316656 / 0.000316656 | -0.000563565 / 0.000563565 | -2.30487e-05 / 2.30487e-05 | 7.54213e-05 / -7.54213e-05 | -0.00167975 / 0.00167975 | -1.51837e-05 / 1.51837e-05 | -1.03814e-05 / 1.03814e-05 | -2.39248e-05 / 2.39248e-05 | -5.8027e-06 / 5.8027e-06 |
 | b-tag Eigenvar. 13 | 0.00118712 / -0.00118712 | 0.00233214 / -0.00233214 | 0.00232341 / -0.00232341 | 3.58626e-05 / -3.58626e-05 | 0.00236625 / -0.00236625 | 0.00240462 / -0.00240462 | 3.98641e-05 / -3.98641e-05 | 6.56556e-05 / -6.56556e-05 | 4.73148e-05 / -4.73148e-05 | 6.9667e-05 / -6.9667e-05 |
 | b-tag Eigenvar. 14 | 4.44431e-05 / -4.44431e-05 | 0.000135203 / -0.000135203 | 0.000230025 / -0.000230025 | 5.78179e-06 / -5.78179e-06 | 9.98843e-05 / -9.98843e-05 | 0.000169071 / -0.000169071 | 6.01065e-06 / -6.01065e-06 | -1.23248e-05 / 1.23248e-05 | -3.51e-06 / 3.51e-06 | 3.1007e-05 / -3.1007e-05 |
