 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | EGamFake | 0.000298515 / -0.000298502 | 0.0311047 / -0.0309657 | 0.000507907 / -0.000507868 | 0.0372603 / -0.0370625 | 0.0122198 / -0.0121977 | 0.0247164 / -0.0246278 | 2.34964e-05 / -2.34963e-05 | 0.00122596 / -0.00122574 | 0.068254 / -0.0676197 | 0.0044375 / -0.00443456 |
 | JGamFake | 0.000237276 / -0.000237267 | 0.19579 / -0.18859 | 0.00122214 / -0.00122189 | 0.159769 / -0.155086 | 0.0976142 / -0.0959436 | 0.0993911 / -0.0976567 | 0.00152181 / -0.00152143 | 0.406901 / -0.379116 | 0.0651846 / -0.0644588 | 0.000473797 / -0.000473761 |
 | PDF Unc. NNPDF | -0.0050373 / 0.0050371 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0226954 / 0.022691 | 0 / 0 | 0 / 0 | 1.21297 / -0.886014 | 0.00184022 / -0.00184025 | 0 / 0 |
 | c-tag Eigenvar. 1 | 0.00370156 / -0.00370172 | -3.22415e-06 / 3.18799e-06 | -0.000163898 / 0.000163904 | 0.0178922 / -0.0178948 | 0.00052563 / -0.000525634 | -0.00250278 / 0.00250272 | 0.0174584 / -0.017461 | 0.0310931 / -0.0311011 | 0.0186738 / -0.0186768 | 0.0245202 / -0.0245252 |
 | c-tag Eigenvar. 2 | -0.00160819 / 0.00160814 | 0.000108366 / -0.000108403 | 0.000200987 / -0.000200982 | -0.00488181 / 0.0048818 | -0.000283167 / 0.000283166 | 0.000745203 / -0.000745215 | -0.00643441 / 0.0064344 | -0.0066863 / 0.00668634 | -0.00300792 / 0.00300793 | -0.00606335 / 0.00606337 |
 | c-tag Eigenvar. 3 | 0.000135407 / -0.000135372 | -1.05012e-05 / 1.0465e-05 | -2.28937e-05 / 2.28992e-05 | -0.000541839 / 0.000541819 | 0.000465124 / -0.000465065 | -0.000774059 / 0.000774043 | 0.00173768 / -0.00173771 | -0.00051299 / 0.000513024 | 0.00029935 / -0.000299336 | 0.00133581 / -0.00133581 |
 | c-tag Eigenvar. 4 | 0.000253681 / -0.000253646 | -5.56443e-05 / 5.5608e-05 | -0.000200632 / 0.000200638 | 0.00273378 / -0.00273385 | 0.000154584 / -0.000154586 | -0.00024151 / 0.000241498 | 0.000535452 / -0.000535462 | -0.000265789 / 0.000265755 | 0.000941046 / -0.000941037 | 0.00116583 / -0.00116583 |
 | c-tag Eigenvar. 5 | 0.000469461 / -0.000469427 | 9.14958e-05 / -9.1532e-05 | 0.00012401 / -0.000124076 | 0.00253998 / -0.00254004 | -0.000166925 / 0.000166924 | 0.000615363 / -0.000615377 | 0.0023503 / -0.00235035 | 0.00240193 / -0.00240193 | 0.00300533 / -0.00300537 | 0.00260289 / -0.00260292 |
 | c-tag Eigenvar. 6 | 0.000355827 / -0.000355792 | 2.16848e-06 / -2.20494e-06 | -8.51288e-05 / 8.51344e-05 | -0.000677646 / 0.000677627 | -0.000286743 / 0.000286742 | -0.000102692 / 0.00010268 | 0.000823539 / -0.000823547 | 0.00220657 / -0.00220654 | 0.000843685 / -0.000843671 | 2.46778e-05 / -2.46659e-05 |
 | c-tag Eigenvar. 7 | -0.000331864 / 0.0003319 | -4.35622e-05 / 4.35258e-05 | -0.000111979 / 0.000111984 | -0.00280438 / 0.00280444 | 2.66314e-05 / -2.66328e-05 | -0.00036287 / 0.000362945 | -0.00315966 / 0.00315965 | -0.00350081 / 0.00350085 | -0.00231453 / 0.00231454 | -0.00219875 / 0.00219876 |
 | c-tag Eigenvar. 8 | -0.000238767 / 0.000238721 | -4.93601e-07 / 5.52215e-07 | -1.43101e-05 / 1.42446e-05 | -0.000163688 / 0.00016367 | -7.60701e-05 / 7.60687e-05 | -0.000137671 / 0.000137659 | -0.00149732 / 0.00149732 | -0.00155351 / 0.00155348 | 2.76063e-05 / -2.75922e-05 | -0.000923385 / 0.000923397 |
 | c-tag Eigenvar. 9 | 0.000303726 / -0.000303772 | 2.16587e-05 / -2.16951e-05 | 0.000156876 / -0.000156871 | 0.00099392 / -0.000993939 | 0.000494905 / -0.000494906 | 0.000203721 / -0.000203733 | 0.0017094 / -0.00170941 | 0.00289698 / -0.00289695 | 0.00080926 / -0.000809343 | 0.000938763 / -0.000938751 |
 | c-tag Eigenvar. 10 | -0.000208552 / 0.000208506 | 6.10194e-05 / -6.10559e-05 | 4.50014e-05 / -4.49959e-05 | -0.00169562 / 0.00169561 | 0.000224129 / -0.000224131 | 8.2247e-05 / -8.21718e-05 | -0.0017669 / 0.00176689 | -0.00187526 / 0.00187523 | -0.000433584 / 0.000433598 | -0.0010813 / 0.00108131 |
 | c-tag Eigenvar. 11 | -0.00020749 / 0.000207444 | 0.000194504 / -0.000194445 | 0.00034163 / -0.000341625 | -0.00192121 / 0.0019212 | 0.000307069 / -0.00030707 | 0.000349958 / -0.000349969 | -0.000421101 / 0.000421093 | -0.0001381 / 0.000138135 | -4.18306e-05 / 4.18448e-05 | -0.00124982 / 0.00124983 |
 | c-tag Eigenvar. 12 | 0.000235536 / -0.000235583 | 0.000153907 / -0.000153943 | 0.000330123 / -0.000330117 | 1.01902e-05 / -1.01333e-05 | 0.000359078 / -0.00035908 | 0.000487882 / -0.000487894 | -0.000293609 / 0.000293601 | 0.000534037 / -0.000534071 | -0.00034669 / 0.000346704 | -0.000762297 / 0.000762308 |
 | c-tag Eigenvar. 13 | 0.000311565 / -0.000311612 | 0.000240615 / -0.000240651 | 0.000407903 / -0.000407897 | -0.000276295 / 0.000276277 | 0.000325639 / -0.00032564 | 0.000660873 / -0.000660884 | 0.000543538 / -0.000543547 | 0.000920136 / -0.0009201 | 0.000223922 / -0.000223908 | 0.000252207 / -0.000252195 |
 | c-tag Eigenvar. 14 | -0.000473143 / 0.000473178 | -0.000116674 / 0.000116638 | -0.000296306 / 0.000296312 | -0.00214078 / 0.00214076 | -0.000420876 / 0.000420875 | -0.000555081 / 0.00055507 | -0.000599942 / 0.000599934 | 0.000128472 / -0.000128437 | -0.000515016 / 0.00051503 | -0.00152806 / 0.001528 |
 | c-tag Eigenvar. 15 | -0.00126496 / 0.00126499 | -0.000354835 / 0.000354799 | -0.000743451 / 0.000743457 | -0.00239294 / 0.002393 | -0.000517304 / 0.000517302 | -0.00119414 / 0.00119413 | -0.00219645 / 0.00219644 | -0.00148475 / 0.00148472 | -0.00169252 / 0.00169253 | -0.00111766 / 0.0011176 |
 | c-tag Eigenvar. 16 | 0.0006637 / -0.000663665 | 0.000355274 / -0.000355311 | 0.000659071 / -0.000659066 | -0.000254165 / 0.000254222 | 0.000519561 / -0.000519562 | 0.00134989 / -0.0013499 | 0.00036009 / -0.000360098 | 0.000555674 / -0.000555638 | 0.000482262 / -0.000482248 | 0.00104329 / -0.00104328 |
 | c-tag Eigenvar. 17 | -0.00100085 / 0.00100089 | -0.000310531 / 0.000310494 | -0.000707083 / 0.000707089 | -0.00126469 / 0.00126467 | -0.000565863 / 0.000565861 | -0.00110115 / 0.00110123 | -0.0010409 / 0.00104089 | -0.000932564 / 0.000932599 | -0.000832066 / 0.00083208 | -0.00129094 / 0.00129095 |
 | c-tag Eigenvar. 18 | 0.000970021 / -0.000969986 | 0.000148488 / -0.000148429 | 0.000442566 / -0.000442561 | 0.000343043 / -0.000343061 | 0.000370183 / -0.000370184 | 0.000854903 / -0.000854914 | 0.000502833 / -0.000502841 | 0.000591385 / -0.000591349 | -0.000391844 / 0.000391858 | 9.45623e-06 / -9.44443e-06 |
 | c-tag Eigenvar. 19 | -0.00392009 / 0.00392005 | -0.00142157 / 0.00142153 | -0.00303543 / 0.00303544 | -0.0030667 / 0.00306669 | -0.00193191 / 0.00193191 | -0.00417117 / 0.00417116 | -0.00248665 / 0.00248664 | -0.0021342 / 0.00213424 | -0.00252313 / 0.00252314 | -0.00222284 / 0.00222285 |
 | c-tag Eigenvar. 20 | -0.00174351 / 0.00174354 | -0.00106941 / 0.00106947 | -0.00179763 / 0.00179764 | -0.00162811 / 0.00162809 | -0.000902325 / 0.000902323 | -0.00242681 / 0.00242679 | -0.00159958 / 0.00159957 | -0.00199766 / 0.00199763 | -0.00124664 / 0.00124656 | -0.00153181 / 0.00153175 |
 | light-tag Eigenvar. 1 | -0.0179041 / 0.0179011 | -0.0101393 / 0.0101383 | -0.0104461 / 0.0104451 | -0.0788898 / 0.0788244 | -0.0106543 / 0.0106533 | -0.0131228 / 0.0131212 | -0.069953 / 0.0699024 | -0.00617592 / 0.0191071 | -0.0608685 / 0.0608309 | -0.0598745 / 0.0598382 |
 | light-tag Eigenvar. 2 | 0.00501774 / -0.00501788 | 0.00345048 / -0.0034505 | 0.00323417 / -0.00323424 | 0.0128791 / -0.0128802 | 0.00358028 / -0.00358037 | 0.00435686 / -0.004357 | 0.0168505 / -0.0168524 | -0.00299145 / 0.00299136 | 0.0120959 / -0.0120969 | 0.0118923 / -0.0118932 |
 | light-tag Eigenvar. 3 | 0.000756633 / -0.00075668 | 0.000289768 / -0.000289804 | 0.00037949 / -0.000379484 | 0.00328272 / -0.00328266 | 0.000351487 / -0.000351488 | -0.000191265 / 0.000191253 | 0.00231636 / -0.00231637 | 0.004755 / -0.00475504 | 0.00375779 / -0.00375778 | 0.00250369 / -0.00250368 |
 | light-tag Eigenvar. 4 | 0.00142309 / -0.00142306 | 0.000963179 / -0.000963215 | 0.000914928 / -0.000914922 | 0.00239511 / -0.00239513 | 0.00118602 / -0.00118602 | 0.00127387 / -0.00127388 | 0.00353236 / -0.00353237 | -0.00253108 / 0.00253105 | 0.0023279 / -0.00232789 | 0.00138055 / -0.00138054 |
 | light-tag Eigenvar. 5 | 0.000844422 / -0.000844387 | 0.000775597 / -0.000775634 | 0.000727546 / -0.000727611 | 0.000419068 / -0.000419086 | 0.00113596 / -0.00113596 | 0.00125612 / -0.00125613 | 0.00180244 / -0.00180245 | -0.00704831 / 0.00704835 | -0.0002439 / 0.000243914 | -6.11687e-05 / 6.11805e-05 |
 | light-tag Eigenvar. 6 | 0.000617397 / -0.000617361 | 0.000342914 / -0.000342951 | 0.000296241 / -0.000296235 | 0.00254114 / -0.00254116 | 0.000297219 / -0.00029722 | 0.000370997 / -0.000371008 | 0.00149721 / -0.00149721 | -0.00669912 / 0.00669908 | 0.00265792 / -0.00265791 | 0.00174139 / -0.00174138 |
 | light-tag Eigenvar. 7 | 0.00116177 / -0.00116181 | 0.000778164 / -0.000778106 | 0.000738982 / -0.000738976 | 0.00288287 / -0.00288281 | 0.00101538 / -0.00101538 | 0.00086789 / -0.000867901 | 0.00381544 / -0.00381544 | -0.012414 / 0.012414 | 0.00174266 / -0.00174265 | 0.00235985 / -0.00235983 |
 | light-tag Eigenvar. 8 | 0.000196746 / -0.000196792 | 0.000167027 / -0.000167064 | 0.000165684 / -0.000165679 | -0.00241854 / 0.00241852 | 0.000145896 / -0.000145897 | 0.000218873 / -0.000218884 | 0.000962771 / -0.000962779 | -0.0011205 / 0.00112054 | -0.00116784 / 0.00116785 | 0.00022703 / -0.000227018 |
 | light-tag Eigenvar. 9 | 0.000529526 / -0.000529573 | 0.000525932 / -0.000525969 | 0.000422464 / -0.000422459 | 0.00187054 / -0.00187048 | 0.000536939 / -0.000536941 | 0.000673341 / -0.000673265 | 0.00121885 / -0.00121886 | -0.00593252 / 0.00593249 | 0.00110095 / -0.00110094 | 0.00195824 / -0.00195823 |
 | light-tag Eigenvar. 10 | 0.000495227 / -0.000495192 | 0.000306691 / -0.000306728 | 0.000351077 / -0.000351072 | -0.000658978 / 0.00065896 | 0.000477715 / -0.000477716 | 0.000355412 / -0.000355424 | 0.000901658 / -0.000901666 | -0.0141933 / 0.0141933 | 0.000662681 / -0.000662667 | 0.000983994 / -0.000983983 |
 | light-tag Eigenvar. 11 | -0.000586574 / 0.000586528 | -0.000314999 / 0.000314963 | -0.000326424 / 0.000326429 | -0.00113515 / 0.00113513 | -0.000384363 / 0.000384361 | -0.000482179 / 0.000482168 | -0.00234643 / 0.00234642 | 0.0170877 / -0.0170877 | -0.00208632 / 0.00208633 | -0.00107618 / 0.00107619 |
 | light-tag Eigenvar. 12 | -0.0005005 / 0.000500536 | -0.000413211 / 0.000413174 | -0.000401291 / 0.000401297 | 0.000199725 / -0.000199743 | -0.000416108 / 0.000416107 | -0.000435598 / 0.000435587 | 0.00058973 / -0.000589738 | -0.00741439 / 0.00741435 | -0.000190554 / 0.000190569 | 0.000327305 / -0.000327293 |
 | light-tag Eigenvar. 13 | 0.000456029 / -0.000455993 | 0.00065761 / -0.000657646 | 0.00053235 / -0.000532345 | -0.00115683 / 0.00115681 | 0.000570316 / -0.000570317 | 0.000783732 / -0.000783744 | -0.000865898 / 0.00086589 | 0.00326579 / -0.00326582 | 5.55956e-05 / -5.55815e-05 | -0.000216775 / 0.000216786 |
 | light-tag Eigenvar. 14 | -0.000734467 / 0.000734503 | -0.000844943 / 0.000845001 | -0.000734999 / 0.000735004 | -0.000805608 / 0.00080559 | -0.000795294 / 0.000795293 | -0.000687898 / 0.000687886 | -0.000976823 / 0.000976815 | -0.000954551 / 0.000954516 | -0.000943828 / 0.000943842 | -0.000522287 / 0.000522227 |
 | light-tag Eigenvar. 15 | -0.000225701 / 0.000225737 | -0.00019397 / 0.000194028 | -0.000172001 / 0.000172006 | -0.000380848 / 0.00038083 | -0.00028781 / 0.000287808 | -0.000266764 / 0.000266839 | -0.000407277 / 0.000407269 | -0.000326878 / 0.000326843 | -0.000394574 / 0.000394588 | -0.000289131 / 0.000289143 |
 | light-tag Eigenvar. 16 | 7.64551e-05 / -7.64197e-05 | 9.90491e-05 / -9.89905e-05 | 9.35871e-05 / -9.35816e-05 | 0.000258513 / -0.000258456 | 0.000253616 / -0.000253618 | 0.000133417 / -0.000133428 | 0.000176642 / -0.00017665 | 0.00012119 / -0.000121154 | 0.000153802 / -0.000153788 | -5.07085e-05 / 5.07203e-05 |
 | light-tag Eigenvar. 17 | 0.0010329 / -0.00103287 | 0.00100815 / -0.00100819 | 0.000907753 / -0.000907748 | 0.00123584 / -0.00123586 | 0.000988336 / -0.000988338 | 0.000926592 / -0.000926604 | 0.00111912 / -0.00111913 | 0.00114056 / -0.00114053 | 0.00121613 / -0.00121621 | 0.00117423 / -0.00117422 |
 | light-tag Eigenvar. 18 | 2.68035e-05 / -2.6768e-05 | 5.72164e-05 / -5.72529e-05 | 6.22621e-05 / -6.22566e-05 | -9.93306e-05 / 9.93875e-05 | 6.61811e-06 / -6.61953e-06 | -5.09158e-05 / 5.0991e-05 | -9.6885e-05 / 9.68768e-05 | -6.68177e-05 / 6.67833e-05 | 2.57534e-05 / -2.57392e-05 | 8.01343e-06 / -8.00163e-06 |
 | light-tag Eigenvar. 19 | 0.000200992 / -0.000200957 | 0.000162464 / -0.0001625 | 0.000186852 / -0.000186917 | 0.000201306 / -0.000201324 | 0.000179147 / -0.000179148 | 0.00021818 / -0.000218105 | 0.000224588 / -0.000224597 | 0.000270546 / -0.00027058 | 0.000188618 / -0.000188604 | 0.000220393 / -0.000220382 |
 | light-tag Eigenvar. 20 | -0.000210757 / 0.000210792 | -0.000179328 / 0.000179387 | -0.000195654 / 0.00019566 | -0.000200647 / 0.000200628 | -0.000184292 / 0.000184291 | -0.000200702 / 0.000200691 | -0.00018839 / 0.000188382 | -0.000165408 / 0.000165374 | -0.000173195 / 0.000173209 | -0.000199822 / 0.000199833 |
 | b-tag Eigenvar. 2 | -0.00251907 / 0.00251907 | -0.00163254 / 0.00163254 | -0.00142855 / 0.00142855 | -0.00068585 / 0.00068585 | -0.00320279 / 0.00320279 | -0.00255001 / 0.00255001 | -0.000684205 / 0.000684205 | -0.00385855 / 0.00385855 | -0.00121075 / 0.00121075 | -0.00115192 / 0.00115192 |
 | b-tag Eigenvar. 3 | -0.00177976 / 0.00177976 | -0.000406365 / 0.000406365 | 3.10081e-05 / -3.10081e-05 | -0.000197636 / 0.000197636 | 0.00178147 / -0.00178147 | 0.00121647 / -0.00121647 | -0.000106321 / 0.000106321 | -0.00113619 / 0.00113619 | -0.000638481 / 0.000638481 | -0.000139657 / 0.000139657 |
 | b-tag Eigenvar. 4 | 0.00048306 / -0.00048306 | -0.000338007 / 0.000338007 | -0.000739118 / 0.000739118 | -0.000167452 / 0.000167452 | -0.00161666 / 0.00161666 | -0.00172151 / 0.00172151 | -0.000318735 / 0.000318735 | -0.000906586 / 0.000906586 | -0.000105514 / 0.000105514 | -0.000191453 / 0.000191453 |
 | b-tag Eigenvar. 5 | 0.00208285 / -0.00208285 | 0.00089406 / -0.00089406 | 0.000450806 / -0.000450806 | 0.000696746 / -0.000696746 | -0.000897368 / 0.000897368 | 0.000320174 / -0.000320174 | 0.00198699 / -0.00198699 | 0.00124385 / -0.00124385 | 0.000234747 / -0.000234747 | 0.00145644 / -0.00145644 |
 | b-tag Eigenvar. 6 | 0.00229559 / -0.00229559 | 0.00109581 / -0.00109581 | 0.000902071 / -0.000902071 | 3.92452e-05 / -3.92452e-05 | 0.00246298 / -0.00246298 | 0.000103979 / -0.000103979 | 0.000537833 / -0.000537833 | 0.00057801 / -0.00057801 | 0.000530049 / -0.000530049 | 0.0010609 / -0.0010609 |
 | b-tag Eigenvar. 7 | 0.00103168 / -0.00103168 | 0.00106928 / -0.00106928 | 0.0012941 / -0.0012941 | 0.000799342 / -0.000799342 | 0.0030492 / -0.0030492 | 0.00176895 / -0.00176895 | 0.000400576 / -0.000400576 | 0.0010669 / -0.0010669 | 0.000633132 / -0.000633132 | 0.000403052 / -0.000403052 |
 | b-tag Eigenvar. 8 | -0.00192145 / 0.00192145 | 6.44421e-05 / -6.44421e-05 | 3.23471e-06 / -3.23471e-06 | 8.96022e-05 / -8.96022e-05 | 0.000542774 / -0.000542774 | 0.000831872 / -0.000831872 | -0.000425929 / 0.000425929 | -0.000285215 / 0.000285215 | -0.000152618 / 0.000152618 | -8.64899e-05 / 8.64899e-05 |
 | b-tag Eigenvar. 9 | -0.000119947 / 0.000119947 | 0.000239759 / -0.000239759 | 0.000310305 / -0.000310305 | -1.92412e-05 / 1.92412e-05 | 0.000633242 / -0.000633242 | 0.000567451 / -0.000567451 | 0.000227002 / -0.000227002 | 0.000223842 / -0.000223842 | -3.39312e-05 / 3.39312e-05 | -0.000124508 / 0.000124508 |
 | b-tag Eigenvar. 10 | 0.00241302 / -0.00241302 | 0.000179672 / -0.000179672 | 6.73764e-05 / -6.73764e-05 | 0.000494566 / -0.000494566 | 7.53785e-05 / -7.53785e-05 | 0.000489181 / -0.000489181 | 0.000459495 / -0.000459495 | 0.000128682 / -0.000128682 | 0.000606117 / -0.000606117 | 0.00117884 / -0.00117884 |
 | b-tag Eigenvar. 11 | 0.000738259 / -0.000738259 | 0.000784534 / -0.000784534 | 0.000730671 / -0.000730671 | 0.000122345 / -0.000122345 | 0.00097993 / -0.00097993 | 0.000600785 / -0.000600785 | 0.000238413 / -0.000238413 | 0.000531516 / -0.000531516 | 0.000312278 / -0.000312278 | 0.000153087 / -0.000153087 |
 | b-tag Eigenvar. 12 | -9.96122e-05 / 9.96122e-05 | -0.000465977 / 0.000465977 | -0.000362863 / 0.000362863 | 8.50106e-05 / -8.50106e-05 | -0.000299918 / 0.000299918 | -0.000216373 / 0.000216373 | -9.85308e-05 / 9.85308e-05 | -3.80389e-05 / 3.80389e-05 | -8.51312e-05 / 8.51312e-05 | -7.2639e-05 / 7.2639e-05 |
 | b-tag Eigenvar. 13 | 0.000358032 / -0.000358032 | 0.00072112 / -0.00072112 | 0.00084141 / -0.00084141 | 0.000321892 / -0.000321892 | 0.000604382 / -0.000604382 | 0.000951268 / -0.000951268 | 0.000214604 / -0.000214604 | 0.000418291 / -0.000418291 | 0.000323786 / -0.000323786 | 0.000492361 / -0.000492361 |
