 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | light-tag Eigenvar. 1 | -0.00187816 / 0.00187819 | -0.00189565 / 0.00189575 | -0.00161982 / 0.00161982 | -0.000615539 / 0.00061556 | -0.00176772 / 0.00176768 | -0.000149384 / 0.000149373 | -0.00243661 / 0.00243662 | -0.00298185 / 0.0029819 | -0.00458368 / 0.00458393 | -0.00174992 / 0.00174993 |
 | light-tag Eigenvar. 2 | 0.00174203 / -0.00174205 | 0.00174514 / -0.00174516 | 0.00162269 / -0.00162263 | 0.00148195 / -0.00148202 | 0.00174234 / -0.00174234 | 0.00116289 / -0.00116281 | 0.00219339 / -0.00219339 | 0.00255646 / -0.00255649 | 0.0030656 / -0.00306564 | 0.00194523 / -0.00194527 |
 | light-tag Eigenvar. 3 | -0.000141978 / 0.000142077 | -0.00015475 / 0.000154747 | -0.00014833 / 0.000148296 | -0.000204416 / 0.000204359 | -0.000182754 / 0.000182775 | -0.000110099 / 0.000110087 | -0.000193466 / 0.000193499 | -0.000164217 / 0.000164224 | -0.000175006 / 0.000175013 | -0.000212054 / 0.000212037 |
 | light-tag Eigenvar. 4 | 0.000689038 / -0.000689046 | 0.000699525 / -0.000699532 | 0.000651433 / -0.000651364 | 0.000632887 / -0.000632873 | 0.00071839 / -0.000718473 | 0.00045674 / -0.000456659 | 0.000879087 / -0.000879058 | 0.000983801 / -0.000983799 | 0.00117687 / -0.00117687 | 0.000802743 / -0.000802764 |
 | light-tag Eigenvar. 5 | 0.000786214 / -0.000786223 | 0.000815732 / -0.00081574 | 0.000756674 / -0.000756712 | 0.000775189 / -0.000775177 | 0.000858351 / -0.000858335 | 0.000475597 / -0.000475611 | 0.00102644 / -0.00102651 | 0.00107512 / -0.00107512 | 0.00131861 / -0.00131862 | 0.000967266 / -0.000967289 |
 | light-tag Eigenvar. 6 | 0.000115639 / -0.000115644 | 0.000116248 / -0.000116251 | 0.000107697 / -0.000107731 | 9.77894e-05 / -9.77727e-05 | 0.00011808 / -0.00011816 | 7.4678e-05 / -7.46897e-05 | 0.00014622 / -0.000146186 | 0.000169812 / -0.000169865 | 0.000205484 / -0.000205537 | 0.000129264 / -0.000129281 |
 | light-tag Eigenvar. 7 | 0.000454945 / -0.000454951 | 0.000464346 / -0.000464286 | 0.00042888 / -0.000428809 | 0.000405159 / -0.000405144 | 0.000473272 / -0.000473353 | 0.000275558 / -0.00027557 | 0.000584426 / -0.000584395 | 0.000648667 / -0.000648723 | 0.000799502 / -0.0007995 | 0.000529273 / -0.000529292 |
 | light-tag Eigenvar. 8 | 0.000129587 / -0.000129591 | 0.000127882 / -0.000127886 | 0.000120557 / -0.000120591 | 0.000114852 / -0.000114836 | 0.000125257 / -0.000125236 | 0.000102643 / -0.000102654 | 0.000159934 / -0.0001599 | 0.000192708 / -0.0001927 | 0.000217539 / -0.000217532 | 0.000142994 / -0.000143011 |
 | light-tag Eigenvar. 9 | 0.0003897 / -0.000389706 | 0.000401947 / -0.000401951 | 0.000374402 / -0.000374331 | 0.00038945 / -0.000389434 | 0.000407799 / -0.000407779 | 0.000256311 / -0.000256323 | 0.000503924 / -0.000503893 | 0.000534521 / -0.000534516 | 0.000640454 / -0.00064045 | 0.000477421 / -0.00047744 |
 | light-tag Eigenvar. 10 | 6.51396e-05 / -6.50409e-05 | 5.83398e-05 / -5.83435e-05 | 5.27194e-05 / -5.27534e-05 | 1.60453e-05 / -1.60287e-05 | 3.75673e-05 / -3.75463e-05 | 4.19488e-05 / -4.19605e-05 | 7.2564e-05 / -7.25307e-05 | 0.000116444 / -0.000116436 | 0.000145815 / -0.000145808 | 4.57967e-05 / -4.58138e-05 |
 | light-tag Eigenvar. 11 | -4.15723e-05 / 4.15676e-05 | -5.08149e-05 / 5.08112e-05 | -4.88505e-05 / 4.88165e-05 | -8.85852e-05 / 8.86017e-05 | -6.0748e-05 / 6.06686e-05 | -3.17229e-05 / 3.17113e-05 | -6.30087e-05 / 6.29467e-05 | -2.9983e-05 / 2.99906e-05 | -2.81617e-05 / 2.81687e-05 | -8.27733e-05 / 8.27562e-05 |
 | light-tag Eigenvar. 12 | -0.00047256 / 0.000472555 | -0.000488367 / 0.000488363 | -0.000451865 / 0.000451937 | -0.000470142 / 0.000470159 | -0.00049208 / 0.000492101 | -0.00031511 / 0.000315098 | -0.000609298 / 0.000609331 | -0.000656939 / 0.000656946 | -0.000782481 / 0.000782488 | -0.00057499 / 0.000574973 |
 | light-tag Eigenvar. 13 | 0.000866215 / -0.000866219 | 0.000905514 / -0.000905518 | 0.000836669 / -0.000836703 | 0.000915929 / -0.000915912 | 0.000915755 / -0.000915835 | 0.000592836 / -0.000592753 | 0.00112241 / -0.00112237 | 0.00118271 / -0.0011827 | 0.00138699 / -0.00138699 | 0.00108534 / -0.00108536 |
 | light-tag Eigenvar. 14 | -0.000786905 / 0.0007869 | -0.000870614 / 0.00087061 | -0.000775061 / 0.000775133 | -0.000687916 / 0.000687932 | -0.000479343 / 0.000479364 | -0.000413511 / 0.0004135 | -0.000700309 / 0.000700343 | -0.00101678 / 0.00101679 | -0.000939136 / 0.000939143 | -0.000799743 / 0.000799726 |
 | light-tag Eigenvar. 15 | -0.000108982 / 0.000108977 | -0.000171091 / 0.000171088 | -0.000124524 / 0.000124596 | -0.000368794 / 0.000368811 | -0.000331554 / 0.000331575 | -9.78823e-05 / 9.78706e-05 | -0.000292149 / 0.000292087 | -0.000120125 / 0.000120133 | -0.000177187 / 0.000177194 | -0.000332318 / 0.000332301 |
 | light-tag Eigenvar. 16 | 8.17064e-05 / -8.17111e-05 | 7.65718e-05 / -7.65754e-05 | 9.56877e-05 / -9.56156e-05 | 0.000195681 / -0.000195664 | -4.5383e-06 / 4.5595e-06 | 9.20486e-05 / -9.20603e-05 | 0.000169044 / -0.000169011 | 1.32435e-05 / -1.32358e-05 | 6.22776e-05 / -6.22706e-05 | 0.000205804 / -0.000205822 |
 | light-tag Eigenvar. 17 | 0.000922942 / -0.000922947 | 0.00095774 / -0.000957744 | 0.000897355 / -0.000897283 | 0.00116378 / -0.00116377 | 0.000983686 / -0.000983664 | 0.000952369 / -0.000952381 | 0.00118283 / -0.00118289 | 0.00132488 / -0.00132487 | 0.00122646 / -0.00122646 | 0.0011909 / -0.00119092 |
 | light-tag Eigenvar. 18 | 6.90077e-05 / -6.90124e-05 | 7.9121e-05 / -7.91246e-05 | 7.6026e-05 / -7.60602e-05 | -4.30536e-05 / 4.29967e-05 | 4.62072e-05 / -4.6186e-05 | -2.20054e-05 / 2.19937e-05 | -4.96126e-05 / 4.96462e-05 | 0.000114363 / -0.000114355 | -5.26387e-05 / 5.26457e-05 | -3.23875e-05 / 3.24677e-05 |
 | light-tag Eigenvar. 19 | 0.000178612 / -0.000178617 | 0.00015174 / -0.000151744 | 0.000182731 / -0.000182765 | 0.000230027 / -0.000230084 | 0.000170038 / -0.000170017 | 0.000226814 / -0.00022673 | 0.000222366 / -0.000222332 | 0.000194469 / -0.000194461 | 0.00022499 / -0.000224983 | 0.000233655 / -0.000233672 |
 | light-tag Eigenvar. 20 | -0.000191315 / 0.000191311 | -0.000171614 / 0.000171611 | -0.000197963 / 0.000197929 | -0.000220155 / 0.000220172 | -0.00019074 / 0.000190761 | -0.000217758 / 0.000217747 | -0.000206029 / 0.000206063 | -0.000206183 / 0.00020619 | -0.000193785 / 0.000193792 | -0.000225785 / 0.000225767 |
 | b-tag Eigenvar. 2 | 0.00649277 / -0.00649277 | 0.0121432 / -0.0121432 | 0.0116862 / -0.0116862 | 4.31085e-06 / -4.31085e-06 | 0.0091432 / -0.0091432 | 0.0113309 / -0.0113309 | 0.000117545 / -0.000117545 | 0.00019951 / -0.00019951 | 0.000235288 / -0.000235288 | 0.000196943 / -0.000196943 |
 | b-tag Eigenvar. 3 | 0.00691808 / -0.00691808 | 0.0132878 / -0.0132878 | 0.0139958 / -0.0139958 | 0.000206639 / -0.000206639 | 0.013599 / -0.013599 | 0.0176759 / -0.0176759 | 0.000292375 / -0.000292375 | 0.00031065 / -0.00031065 | 0.000460577 / -0.000460577 | 0.00048587 / -0.00048587 |
 | b-tag Eigenvar. 4 | -0.00256503 / 0.00256503 | -0.00486479 / 0.00486479 | -0.00502614 / 0.00502614 | -8.04891e-05 / 8.04891e-05 | -0.00500115 / 0.00500115 | -0.00617357 / 0.00617357 | -0.000102742 / 0.000102742 | -0.000111683 / 0.000111683 | -0.000159498 / 0.000159498 | -0.000160345 / 0.000160345 |
 | b-tag Eigenvar. 5 | -0.00405713 / 0.00405713 | -0.00699036 / 0.00699036 | -0.00468753 / 0.00468753 | -0.000314811 / 0.000314811 | -0.00690088 / 0.00690088 | -0.00424649 / 0.00424649 | -0.000226264 / 0.000226264 | -0.00025653 / 0.00025653 | -7.80814e-05 / 7.80814e-05 | -0.000248085 / 0.000248085 |
 | b-tag Eigenvar. 6 | -0.00658573 / 0.00658573 | -0.0129349 / 0.0129349 | -0.01179 / 0.01179 | -0.000129913 / 0.000129913 | -0.00750467 / 0.00750467 | -0.01253 / 0.01253 | -0.000177258 / 0.000177258 | -0.000197984 / 0.000197984 | -0.000196511 / 0.000196511 | -0.000247598 / 0.000247598 |
 | b-tag Eigenvar. 7 | -0.00109948 / 0.00109948 | -0.00193121 / 0.00193121 | -0.00136311 / 0.00136311 | -1.08399e-05 / 1.08399e-05 | -0.000451241 / 0.000451241 | -0.000603156 / 0.000603156 | -1.96911e-05 / 1.96911e-05 | -2.7265e-05 / 2.7265e-05 | -1.8291e-05 / 1.8291e-05 | -8.13982e-06 / 8.13982e-06 |
 | b-tag Eigenvar. 8 | 0.00807282 / -0.00807282 | 0.0146612 / -0.0146612 | 0.0127743 / -0.0127743 | 0.000144198 / -0.000144198 | 0.00852405 / -0.00852405 | 0.0110183 / -0.0110183 | 0.000233682 / -0.000233682 | 0.000268866 / -0.000268866 | 0.000366197 / -0.000366197 | 0.000251573 / -0.000251573 |
 | b-tag Eigenvar. 9 | 0.000519811 / -0.000519811 | 0.000570656 / -0.000570656 | 0.000316962 / -0.000316962 | 2.51983e-05 / -2.51983e-05 | 0.00109144 / -0.00109144 | 0.000657165 / -0.000657165 | 3.69871e-05 / -3.69871e-05 | 6.54734e-05 / -6.54734e-05 | 3.13223e-05 / -3.13223e-05 | 2.29245e-05 / -2.29245e-05 |
 | b-tag Eigenvar. 10 | -0.0090804 / 0.0090804 | -0.0154516 / 0.0154516 | -0.0139404 / 0.0139404 | -0.000123661 / 0.000123661 | -0.0103926 / 0.0103926 | -0.0112532 / 0.0112532 | -0.000266543 / 0.000266543 | -0.000355888 / 0.000355888 | -0.000396842 / 0.000396842 | -0.000347705 / 0.000347705 |
 | b-tag Eigenvar. 11 | -0.00165812 / 0.00165812 | -0.00328031 / 0.00328031 | -0.00296293 / 0.00296293 | -9.44249e-06 / 9.44249e-06 | -0.00364123 / 0.00364123 | -0.00150366 / 0.00150366 | -3.69535e-05 / 3.69535e-05 | -8.47786e-05 / 8.47786e-05 | -5.56676e-05 / 5.56676e-05 | -9.53925e-05 / 9.53925e-05 |
 | b-tag Eigenvar. 12 | -0.00028895 / 0.00028895 | -0.000316656 / 0.000316656 | -0.000563565 / 0.000563565 | -2.30487e-05 / 2.30487e-05 | 7.54213e-05 / -7.54213e-05 | -0.00167975 / 0.00167975 | -1.51837e-05 / 1.51837e-05 | -1.03814e-05 / 1.03814e-05 | -2.39248e-05 / 2.39248e-05 | -5.8027e-06 / 5.8027e-06 |
 | b-tag Eigenvar. 13 | 0.00118712 / -0.00118712 | 0.00233214 / -0.00233214 | 0.00232341 / -0.00232341 | 3.58626e-05 / -3.58626e-05 | 0.00236625 / -0.00236625 | 0.00240462 / -0.00240462 | 3.98641e-05 / -3.98641e-05 | 6.56556e-05 / -6.56556e-05 | 4.73148e-05 / -4.73148e-05 | 6.9667e-05 / -6.9667e-05 |
