 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | light-tag Eigenvar. 1 | -0.00344743 / 0.00344759 | -0.00396389 / 0.00396405 | -0.00399747 / 0.00399759 | -0.0730531 / 0.073136 | -0.00299952 / 0.00299964 | -0.00623312 / 0.0062336 | -0.0805102 / 0.0806137 | -0.0637653 / 0.0638261 | -0.0772001 / 0.0772941 | -0.0658553 / 0.0659208 |
 | light-tag Eigenvar. 2 | 0.00177073 / -0.00177071 | 0.00234458 / -0.00234456 | 0.00214847 / -0.00214845 | 0.019159 / -0.0191608 | 0.00189431 / -0.00189431 | 0.00256733 / -0.00256741 | 0.0173405 / -0.0173421 | 0.015574 / -0.0155753 | 0.0153685 / -0.0153697 | 0.0136444 / -0.0136453 |
 | light-tag Eigenvar. 3 | -7.28541e-05 / 7.28855e-05 | -3.25323e-05 / 3.25043e-05 | 1.48473e-05 / -1.47989e-05 | 0.00301561 / -0.00301558 | -6.57786e-05 / 6.57084e-05 | -0.000287091 / 0.000287125 | 0.00263848 / -0.00263854 | 0.00250073 / -0.00250079 | 0.00134527 / -0.00134529 | 0.00356385 / -0.00356379 |
 | light-tag Eigenvar. 4 | 0.00066426 / -0.000664313 | 0.000863815 / -0.000863771 | 0.000750877 / -0.000750946 | 0.00492439 / -0.00492453 | 0.000731574 / -0.000731556 | 0.000806809 / -0.000806779 | 0.00327212 / -0.00327225 | 0.00414469 / -0.0041448 | 0.00415278 / -0.00415292 | 0.00344705 / -0.00344715 |
 | light-tag Eigenvar. 5 | 0.00081265 / -0.000812624 | 0.000913167 / -0.000913124 | 0.000760411 / -0.000760367 | 0.00256668 / -0.0025667 | 0.000845022 / -0.000845005 | 0.000868496 / -0.000868547 | 0.00187903 / -0.00187911 | 0.00295567 / -0.00295571 | 0.00123415 / -0.00123418 | -0.000292499 / 0.000292484 |
 | light-tag Eigenvar. 6 | 0.000175277 / -0.000175246 | 0.000179222 / -0.00017925 | 0.000166856 / -0.000166807 | 0.00229507 / -0.00229511 | 0.000144674 / -0.000144652 | 0.000104475 / -0.000104521 | 0.0016529 / -0.00165286 | 0.00214494 / -0.00214494 | 0.00178321 / -0.00178323 | 0.00194848 / -0.00194843 |
 | light-tag Eigenvar. 7 | 0.000402584 / -0.000402635 | 0.000607841 / -0.000607872 | 0.000522782 / -0.000522736 | 0.00434905 / -0.00434921 | 0.000566662 / -0.000566642 | 0.000586471 / -0.000586439 | 0.00403369 / -0.00403376 | 0.00474202 / -0.00474216 | 0.00371448 / -0.00371459 | 0.0028999 / -0.00289997 |
 | light-tag Eigenvar. 8 | 0.000136077 / -0.000136046 | 0.000149169 / -0.000149198 | 0.000131143 / -0.000131209 | 0.000968768 / -0.000968745 | 0.000139991 / -0.000140061 | 0.000119622 / -0.000119588 | 0.00100124 / -0.0010013 | 0.00059167 / -0.00059166 | 0.00115238 / -0.0011524 | 0.000310875 / -0.000310889 |
 | light-tag Eigenvar. 9 | 0.000400482 / -0.000400452 | 0.000456201 / -0.000456153 | 0.000421015 / -0.000420968 | 0.001758 / -0.00175806 | 0.000553342 / -0.000553323 | 0.000470018 / -0.000469986 | 0.00249303 / -0.00249304 | 0.00161495 / -0.00161496 | 0.00279098 / -0.00279106 | 0.00137087 / -0.0013709 |
 | light-tag Eigenvar. 10 | 0.000129604 / -0.000129573 | 9.0926e-05 / -9.08774e-05 | 0.000150631 / -0.000150583 | 0.00191421 / -0.00191427 | -0.000171244 / 0.000171266 | -7.62985e-05 / 7.62521e-05 | 0.000785242 / -0.000785307 | 0.00278559 / -0.00278563 | 0.00220797 / -0.00220803 | 0.00182785 / -0.00182788 |
 | light-tag Eigenvar. 11 | -0.000255464 / 0.000255495 | -0.000115534 / 0.000115583 | -0.000160374 / 0.000160308 | -0.000575872 / 0.000575893 | -7.72075e-05 / 7.7229e-05 | 1.73463e-05 / -1.73127e-05 | -0.00204428 / 0.00204428 | -0.00409429 / 0.0040942 | -0.00308284 / 0.00308276 | 0.000155434 / -0.000155448 |
 | light-tag Eigenvar. 12 | -0.000433543 / 0.000433493 | -0.000511445 / 0.000511417 | -0.000454227 / 0.000454161 | -0.00128439 / 0.00128435 | -0.000411666 / 0.000411688 | -0.000539192 / 0.000539145 | -1.95493e-05 / 1.94872e-05 | -0.000332427 / 0.000332436 | -0.000189866 / 0.000189843 | 0.000253398 / -0.000253413 |
 | light-tag Eigenvar. 13 | 0.000700086 / -0.000700136 | 0.000929223 / -0.000929174 | 0.000770883 / -0.000770949 | -0.000455888 / 0.000455849 | 0.000824972 / -0.000825042 | 0.000934498 / -0.000934544 | -0.000901698 / 0.000901732 | -0.00122861 / 0.00122862 | -0.00107569 / 0.00107566 | -0.000273146 / 0.000273131 |
 | light-tag Eigenvar. 14 | -0.000795615 / 0.000795565 | -0.000988586 / 0.000988558 | -0.000816506 / 0.000816555 | -0.00124088 / 0.00124091 | -0.00109132 / 0.00109134 | -0.000361376 / 0.000361329 | -0.000722494 / 0.000722528 | -0.00108129 / 0.0010813 | -0.000837984 / 0.000837961 | -0.000983528 / 0.000983513 |
 | light-tag Eigenvar. 15 | -0.000318627 / 0.000318577 | -0.000192889 / 0.000192861 | -0.000136589 / 0.000136637 | -0.000311793 / 0.000311754 | -0.000270079 / 0.000270009 | -0.000120877 / 0.000120911 | -0.00047134 / 0.000471373 | -0.000322392 / 0.000322336 | -0.0005337 / 0.000533777 | -0.000164938 / 0.000164923 |
 | light-tag Eigenvar. 16 | 0.000144373 / -0.000144341 | 8.62904e-05 / -8.63185e-05 | 8.93635e-05 / -8.93151e-05 | -0.000182819 / 0.00018278 | 4.33042e-05 / -4.32825e-05 | 0.000115513 / -0.000115559 | 0.000242225 / -0.000242287 | 4.03751e-05 / -4.03655e-05 | 0.000116306 / -0.000116329 | -5.25683e-05 / 5.25539e-05 |
 | light-tag Eigenvar. 17 | 0.0010781 / -0.00107807 | 0.00110461 / -0.00110463 | 0.00100256 / -0.00100251 | 0.00105411 / -0.00105409 | 0.0011064 / -0.00110638 | 0.0009801 / -0.000980147 | 0.0011549 / -0.00115486 | 0.00126923 / -0.00126922 | 0.00124589 / -0.00124582 | 0.00118586 / -0.00118588 |
 | light-tag Eigenvar. 18 | 4.32821e-05 / -4.33321e-05 | 7.03395e-05 / -7.02906e-05 | 7.76882e-05 / -7.76398e-05 | -4.43018e-05 / 4.43248e-05 | 6.57599e-06 / -6.64616e-06 | -3.15259e-05 / 3.15597e-05 | -7.97306e-05 / 7.97642e-05 | 5.62574e-05 / -5.62477e-05 | -3.47428e-05 / 3.47198e-05 | -8.14141e-05 / 8.13997e-05 |
 | light-tag Eigenvar. 19 | 0.000221634 / -0.000221684 | 0.000176063 / -0.000176091 | 0.000201424 / -0.000201376 | 0.000242836 / -0.000242813 | 0.000183606 / -0.000183584 | 0.000232257 / -0.000232304 | 0.000231605 / -0.000231571 | 0.000210229 / -0.00021022 | 0.000187955 / -0.000187978 | 0.000255766 / -0.000255781 |
 | light-tag Eigenvar. 20 | -0.00022754 / 0.000227571 | -0.000195355 / 0.000195327 | -0.000216599 / 0.000216648 | -0.000208912 / 0.000208873 | -0.000185329 / 0.00018535 | -0.00022328 / 0.000223314 | -0.00019818 / 0.000198118 | -0.000228228 / 0.000228172 | -0.000189468 / 0.000189445 | -0.000222271 / 0.000222256 |
 | b-tag Eigenvar. 2 | -0.00195803 / 0.00195803 | 0.0036556 / -0.0036556 | 0.00289271 / -0.00289271 | -0.000104233 / 0.000104233 | -0.00166694 / 0.00166694 | 0.00419892 / -0.00419892 | 0.000362014 / -0.000362014 | -0.00115425 / 0.00115425 | -0.000918576 / 0.000918576 | -0.000817628 / 0.000817628 |
 | b-tag Eigenvar. 3 | -0.00133392 / 0.00133392 | 0.00478981 / -0.00478981 | 0.00522205 / -0.00522205 | -0.000268471 / 0.000268471 | 0.00441772 / -0.00441772 | 0.00739767 / -0.00739767 | 0.000239642 / -0.000239642 | -0.000877143 / 0.000877143 | 0.000359276 / -0.000359276 | 9.62532e-05 / -9.62532e-05 |
 | b-tag Eigenvar. 4 | 2.31941e-05 / -2.31941e-05 | -0.00206285 / 0.00206285 | -0.00228371 / 0.00228371 | 2.33767e-05 / -2.33767e-05 | -0.00173012 / 0.00173012 | -0.00279037 / 0.00279037 | -0.000787842 / 0.000787842 | -0.000145096 / 0.000145096 | -0.000340418 / 0.000340418 | -7.56019e-05 / 7.56019e-05 |
 | b-tag Eigenvar. 5 | 0.00108648 / -0.00108648 | -0.00143637 / 0.00143637 | -0.00158181 / 0.00158181 | 0.00086316 / -0.00086316 | -0.000463178 / 0.000463178 | -0.000686956 / 0.000686956 | 0.000677176 / -0.000677176 | 0.000872102 / -0.000872102 | -0.000772099 / 0.000772099 | -0.00108277 / 0.00108277 |
 | b-tag Eigenvar. 6 | 0.00170571 / -0.00170571 | -0.00395769 / 0.00395769 | -0.00358494 / 0.00358494 | 0.000289628 / -0.000289628 | 0.000354851 / -0.000354851 | -0.00318629 / 0.00318629 | -5.90642e-05 / 5.90642e-05 | 0.000445673 / -0.000445673 | 0.000147112 / -0.000147112 | -5.7663e-05 / 5.7663e-05 |
 | b-tag Eigenvar. 7 | 0.000704397 / -0.000704397 | 5.82415e-05 / -5.82415e-05 | 0.000338781 / -0.000338781 | 0.00105857 / -0.00105857 | 0.00148388 / -0.00148388 | 0.000826777 / -0.000826777 | 0.000489074 / -0.000489074 | 6.19723e-05 / -6.19723e-05 | 0.000693173 / -0.000693173 | 0.000189249 / -0.000189249 |
 | b-tag Eigenvar. 8 | -0.00168136 / 0.00168136 | 0.00453821 / -0.00453821 | 0.00446453 / -0.00446453 | -0.00081715 / 0.00081715 | 0.00330982 / -0.00330982 | 0.00405961 / -0.00405961 | -1.48611e-05 / 1.48611e-05 | 0.000944004 / -0.000944004 | 7.96369e-05 / -7.96369e-05 | 0.000844164 / -0.000844164 |
 | b-tag Eigenvar. 9 | -7.78964e-05 / 7.78964e-05 | 0.00016566 / -0.00016566 | 0.000502121 / -0.000502121 | -0.000200793 / 0.000200793 | 0.00078402 / -0.00078402 | 0.000855137 / -0.000855137 | 0.000384402 / -0.000384402 | 0.000411582 / -0.000411582 | -1.23836e-05 / 1.23836e-05 | 0.000266314 / -0.000266314 |
 | b-tag Eigenvar. 10 | 0.00186137 / -0.00186137 | -0.00536083 / 0.00536083 | -0.00462588 / 0.00462588 | 6.46531e-05 / -6.46531e-05 | -0.00311009 / 0.00311009 | -0.00363619 / 0.00363619 | -0.000156177 / 0.000156177 | 0.000123176 / -0.000123176 | 0.00024897 / -0.00024897 | 0.000169516 / -0.000169516 |
 | b-tag Eigenvar. 11 | 0.000656007 / -0.000656007 | -0.00070224 / 0.00070224 | -0.000354758 / 0.000354758 | 2.59177e-05 / -2.59177e-05 | -0.000399454 / 0.000399454 | -0.00048231 / 0.00048231 | 0.000130091 / -0.000130091 | 0.000547013 / -0.000547013 | 5.06196e-05 / -5.06196e-05 | 2.07661e-05 / -2.07661e-05 |
 | b-tag Eigenvar. 12 | -0.000205581 / 0.000205581 | -0.00052624 / 0.00052624 | -0.000624092 / 0.000624092 | -3.53152e-05 / 3.53152e-05 | -0.000773347 / 0.000773347 | -0.000684216 / 0.000684216 | -0.000135606 / 0.000135606 | -0.000134131 / 0.000134131 | -2.34141e-05 / 2.34141e-05 | -3.3553e-05 / 3.3553e-05 |
 | b-tag Eigenvar. 13 | 0.000285802 / -0.000285802 | 0.00136737 / -0.00136737 | 0.00141074 / -0.00141074 | 0.000116218 / -0.000116218 | 0.0011569 / -0.0011569 | 0.00171594 / -0.00171594 | 0.000252654 / -0.000252654 | -8.49555e-05 / 8.49555e-05 | 0.000439371 / -0.000439371 | 0.000256556 / -0.000256556 |
 | b-tag Eigenvar. 14 | 0.000115989 / -0.000115989 | 0.000284251 / -0.000284251 | 0.000332485 / -0.000332485 | 9.33483e-05 / -9.33483e-05 | 0.000188472 / -0.000188472 | 0.000627046 / -0.000627046 | 0.000157933 / -0.000157933 | 4.85488e-05 / -4.85488e-05 | 0.000160925 / -0.000160925 | 0.000158968 / -0.000158968 |
